created_at,favorite_count,full_text,category,ed_risk
Mon Aug 12 04:41:29 +0000 2024,0,the fox club cherry smp pertama kena bully makanya oplas terus pindah smpnya onyu sekarang masalah kesehatan kan suka muntahin makanan apa namanya bulimia apa anoreksia gitu,B,1
Mon Aug 12 18:15:22 +0000 2024,1,orang kalau stress biasanya binge eating binge watching panic buying panic posting kayak apa up up deh gajelas penting tersalurkan energinya,B,1
Mon Dec 04 13:52:42 +0000 2023,0,craving parah tgl brp si sekarang heu,B,1
Mon Dec 09 13:10:29 +0000 2024,0,randomlyga deng random memang sengaja search suka uji nyali liatin foto sesek uda rasa dijelasin bikin binge eating akhir,B,1
Mon Dec 23 17:49:25 +0000 2024,0,pengen muntahin makanan masuk perutku,B,1
Mon Dec 23 18:43:02 +0000 2024,0,abis muntahin makanan td siang,B,1
Mon Dec 30 07:17:29 +0000 2024,0,prnah wktu mau cut makanan sama minuman manis baru brp hari lemes mah engga kayak craving parah kayak kecanduan gt anjir wkwkwkkw akhirnya bli minuman manis,B,1
Mon Feb 03 01:59:54 +0000 2025,0,perut kenyang pengen ngemil terus kayanya mulai wo perut tebel banget,B,1
Mon Feb 03 11:54:03 +0000 2025,0,rumah makan sama ngemil terus ihhh takut berat badan naik huhu,D,1
Mon Feb 03 13:23:51 +0000 2025,0,pernah fase ngerasain suka benci nasi padang waktu ldks pas sma makan pagimalam disediain nasi padang bayangin makan naspad terus dipaksa habis muntahmuntah dipaksa bikin benci nasi padang tahun lebih,B,1
Mon Feb 03 16:06:46 +0000 2025,0,selalu lapar jam segini,B,1
Mon Feb 03 17:24:17 +0000 2025,0,selalu lapar jam segini,B,1
Mon Feb 03 21:58:05 +0000 2025,0,selalu lapar tiap bangun tidur,B,1
Mon Feb 05 06:31:08 +0000 2024,0,pengen makan seblak takut ngerasa bersalah makan,B,1
Mon Feb 10 07:23:37 +0000 2025,0,yejun be like jangan kurus terima kamu apa adanya mam banyak yaaa makan teratur suka bingeeating okee jun mana exercise,B,1
Mon Feb 10 12:42:14 +0000 2025,0,tadi ngemil terus,B,1
Mon Feb 10 13:35:05 +0000 2025,0,pengen ngemil terus padahal kekenyangan banget,B,1
Mon Feb 10 14:08:16 +0000 2025,1,rocesmut besar kemungkinannya massa otot kamu menyusut massa otot menyusut metabolisme tubuh bakal turun akibatnya tubuh jadi menyimpan lebih banyak lemak perlu merasa bersalah makan makanan tertentu misal mie kulit ayam kerupuk brownies bikin,B,1
Mon Feb 10 18:45:38 +0000 2025,0,sambal matahany food pake perbawangan irisannya kelihatan jelas trauma grgr pernah dipaksa makan bawang mentah waktu digodok organisasi dulu dipaksa buat telan gaboleh muntahin kalau muntah ntar dijejel mana perut i kosong waktu perih sakit banget ampun,None,0
Mon Feb 17 05:13:51 +0000 2025,1,highfunctioning depression tuh asli bikin gemuk soalnya capek terus interaksi dikit nguras energi ujungnya ngemil terus,B,1
Mon Feb 17 07:11:38 +0000 2025,0,kemaren kepengen ngemil terus ih,B,1
Mon Feb 17 11:50:56 +0000 2025,0,craving coklat parah bet mah moal heu,B,1
Mon Feb 17 12:20:47 +0000 2025,0,benci banget kalau ditemuin castaiea malemmalem begini diajakin makan kapan body goals nya semakin kalah jauh ama body wontil [URL],D,1
Mon Feb 17 13:41:27 +0000 2025,0,ngemil terus,B,1
Mon Feb 17 14:02:07 +0000 2025,1,ngemil terus nom nom [URL],B,1
Mon Feb 17 16:53:02 +0000 2025,0,siii selalu lapar jam segini,B,1
Mon Feb 24 12:46:47 +0000 2025,0,makan terus kepikiran bulan depan kuliah puasa langsung nafsu,B,1
Mon Feb 24 14:15:22 +0000 2025,0,i hate gerd muntahin makanan beli anjr,B,1
Mon Feb 24 15:37:09 +0000 2025,0,cita cita kurus ideal jadi idamanny mas mas fh kerjaanny makan semalem terus [URL],B,1
Mon Feb 24 17:51:46 +0000 2025,0,selalu lapar jam segini kocakkk pengen manis manis,B,1
Mon Feb 26 14:47:09 +0000 2024,0,bila i stress i makan malam then i stress sbb gemuk then i paksa diri muntah i dont think it should consider as bulimia as i dont to it often,B,1
Mon Jan 11 15:03:19 +0000 2021,1,makan endhog habis makan cokopai rasa bersalah makan td dimakannn hah,B,1
Mon Jan 13 16:01:15 +0000 2025,0,et dah knpsi selalu lapar jam segini,B,1
Mon Jan 20 15:06:41 +0000 2025,1,stress sbb hit plateu again pastu bila stress kena la binge eating ye pastu dh la plateu binge eating udahnye gemok la engko,B,1
Mon Jan 20 16:38:47 +0000 2025,7,yap jam segini selalu lapar,B,1
Mon Jan 22 11:44:18 +0000 2024,0,aslam kambuh smpe muntahin makanan makan barusan kaya banyak banget muntahnya smpe tenggorokan panas,B,1
Mon Jan 27 14:45:32 +0000 2025,0,jajan terus makan terus ngemil terus,B,1
Mon Jul 08 09:36:58 +0000 2024,16,minakad pernah insecure pernah namanya manusia biasa jadi admin penerbit cuma pengangguran hobinya jajan terus berat badan naik,B,1
Mon Jul 08 12:09:06 +0000 2024,0,td siang kan w makan emg ngurus kerjaan gt drmh terus w dikabarin estimasi dijam mlm w kaget banget ampe w muntahin makanan w kunyah w syok lah orang janjinya sblm jam sore untung jam clear semua anjg w blg libur prnh tenang aj,B,1
Mon Jul 08 15:26:46 +0000 2024,0,muntahin makanan perut yay nay,B,1
Mon Jul 15 07:42:13 +0000 2024,0,berhenti makan kue coklarnya dasel,B,1
Mon Jul 15 18:28:14 +0000 2024,1,god takut banget kalau gejala binge eating,B,1
Mon Jul 22 03:30:22 +0000 2024,0,mah ed kena gerd gara dulu hampir tiap hari muntahin makanan makan sehari sekali padahal aktivitas berat buat jadi atlet,B,1
Mon Jul 24 09:47:42 +0000 2023,0,hari craving parah banget semua pengen dimakan,B,1
Mon Jul 26 10:55:38 +0000 2021,0,gula craving nih memang parah banget deeehh tahan mau minum gulaaa kemarinan dah minum gula kebanyakan,B,1
Mon Jul 27 07:59:54 +0000 2020,0,merasa bersalah makan mie ayam,B,1
Mon Jul 31 16:18:03 +0000 2023,0,belakangan craving parah,B,1
Mon Jun 01 04:17:24 +0000 2020,1,merasa bersalah makan gorengan,B,1
Mon Jun 03 03:09:26 +0000 2024,0,tepat minggu tapering off nafsu makan terjun bebas turun drastis tidur craving gila sama binge eating dulu,B,1
Mon Jun 03 11:20:24 +0000 2024,207,oke kebiasaan jelek kedua terlalu sering makan snacknyemil kalau cemilannya kalori tinggigula tinggigaram tinggi kalau ultra processed food gizinya minimal banget resiko obesitas penyakit metabolik hipertensi peningkatan inflamasi tubuh,D,1
Mon Jun 03 13:57:05 +0000 2024,0,tmi jadi hari rumah sakit buat ketemu dokter gizi sekalian check up autoimmune wkwkwk ternyata kena binge eating disorder sekarang berusaha sembuh sama berusaha ngurangin gula sinting banget konsumsi gula nya,B,1
Mon Jun 24 06:47:23 +0000 2024,0,kucingku nih bulimia ka apa beli kibbles mahal kau makan pastu muntah balik eiii membazir,B,1
Mon Mar 11 13:26:06 +0000 2024,0,abis muntahin semua makanan makan hari skrng ngeliat semua makanan rasanya mual hehe,B,1
Mon Mar 17 16:49:08 +0000 2025,2,tadi makan tempat makan enak lama kudatengin sekarang inget jarang sana terakhir makan sana sefresh dulu langsung mualmuntah tadi mual,B,1
Mon Mar 17 16:59:04 +0000 2025,2,victheori instan kayak minum laxative dimuntahin pls a big no ngalamin recoverynya took years sekarang sering relapse malah sering sakit dont sacrifice makan tubuh ideal ituu terlalh kurus luruslurus kayak kakak ray contoh bagus,B,1
Mon Mar 17 22:06:02 +0000 2025,0,the hardest part for me is stress eating food has always been my biggest vice i quit smoking i very rarely drink but when i m stressed i want to binge eat nothing compares to stuffing my face in those times and i don t even know why it s like being physically,B,1
Mon Mar 18 13:51:25 +0000 2024,0,lapar banget pengen binge eating mie gacoan udang keju,B,1
Mon May 06 13:02:20 +0000 2024,0,kalau abis lihat auto merasa bersalah makan [URL],B,1
Mon Nov 04 19:26:37 +0000 2024,1,perut ulu ati enak bat berasa mau muntahin semua makanan ‍,B,1
Mon Nov 11 05:43:56 +0000 2024,0,kalau turutin rasa pengen muntah tiap makan bulimia kli,B,1
Mon Nov 25 12:27:27 +0000 2024,0,abis melakukan dosa besar dimaafkan binge eating,B,1
Mon Oct 02 16:29:58 +0000 2023,0,fasa muntah perut kosong takut nak makan sbb takut termuntah coz sis suka muntah badan rasa lemah je nih allaaaah penadddddd adakah perlu cuti esoook,B,1
Mon Oct 21 15:12:35 +0000 2024,0,jadi binge eating gini jirr aaaa yakali ak balik lgi eating disorder,B,1
Mon Oct 21 23:57:23 +0000 2024,2,najaeminly belajar mendisiplinkan diri sendiri kalau kamu tipe berhenti makan meskipun kenyang coba cek psikolog deh kemungkinan binge eating disorder,None,1
Mon Oct 28 12:47:06 +0000 2024,0,craving parah banget anjay,B,1
Mon Oct 28 17:04:37 +0000 2024,0,lapar tahan dingin nya kutub es tahan sama nya gurun pasir lapar nya tahan makan terus haus nya minta ampun buat nya guyonan indonesiabangga duniabahagia,None,0
Mon Oct 30 08:17:44 +0000 2023,0,merasa bersalah makan mie hft,B,1
Mon Sep 04 07:52:36 +0000 2023,0,overthinking kejam bahkan sama makanan jdi overthinking makanannya enak trus dimakan kira bantu ngurangin overthinking,B,1
Mon Sep 05 15:36:20 +0000 2022,0,merasa bersalah makan setengah potong terang bulan,B,1
Mon Sep 09 15:06:07 +0000 2024,0,butuh tutor muntahin makanan plis banget mau,B,1
Sat Apr 13 04:23:55 +0000 2024,0,merasa bersalah makan rendang tunjang sekaligus,B,1
Sat Aug 05 04:26:50 +0000 2023,0,makan apa yaa hari nasinya pengen enak merasa bersalah makan,B,1
Sat Aug 05 05:36:30 +0000 2023,0,makan terus mikirin makanan hukumnya apa [URL],B,1
Sat Aug 17 12:10:05 +0000 2024,1,bagaimana caranya melawan eating disorder rasanya pen makan terus huhu,B,1
Sat Aug 19 08:35:04 +0000 2023,0,tiap bulan craving sukiya parah betul,B,1
Sat Aug 31 12:43:21 +0000 2024,0,sumpah binge eating beneran benci banget anjir tiap stress begini,B,1
Sat Dec 02 12:58:06 +0000 2023,0,padahal porsinya dikit eh rasanya pen muntahin makanan baru beberapa menit habis dimakan sayang woi,B,1
Sat Dec 07 10:38:52 +0000 2024,0,kebiasaan jelek kalau stres binge eating,B,1
Sat Dec 21 14:53:31 +0000 2024,0,sebel banget jam setengah udjh makan terus jam segini lapar perut jangan bikin menderita takut gendut,D,1
Sat Dec 21 21:45:32 +0000 2024,0,sumpah pelik lately nih bila makan banyak ja mesti nak muntahkan balik bulimia nih,B,1
Sat Dec 28 03:49:30 +0000 2024,0,kayaknya guwe ngerokok deh ngemil terus,B,1
Sat Dec 28 09:55:48 +0000 2024,0,mami libur panjang otomatis rumah terus bersamaan craving parah makan aturan bingung sama diriku sendiri ditambah dimuwarahin sama mami makan terus mental breakdance craving,B,1
Sat Dec 28 14:19:36 +0000 2024,0,beneran makan selalu akhir takut gendut woy doakan beratku tetap chingus,D,1
Sat Feb 01 19:05:39 +0000 2025,0,selalu lapar jam segini aaa sih,B,1
Sat Feb 01 19:39:30 +0000 2025,1,selalu lapar tiap mau tidur,B,1
Sat Feb 10 12:46:18 +0000 2024,0,ditanya gmn caranya kok kurusan bulimia lag alias makan muntahinakan muntahin,B,1
Sat Feb 15 16:52:07 +0000 2025,1,yak tiap mau tidur selalu lapar,B,1
Sat Feb 17 12:49:19 +0000 2024,3,plis makan terus tengah makan kepikiran kuliah tbtb lgsg mood ngehabisin tuh makanan bjir yujiem,B,1
Sat Feb 22 03:24:31 +0000 2025,0,selalu lapar gapernah selaper,B,1
Sat Feb 22 16:26:05 +0000 2025,0,pengen ngemil terus sampek enek perut mulut pengen ngunyah terus,B,1
Sat Feb 27 10:32:04 +0000 2021,0,rasa bersalah makan hampir box pizza sendirian [URL],B,1
Sat Jan 11 02:39:24 +0000 2020,0,selalu merasa bersalah makan mie,B,1
Sat Jan 11 17:08:31 +0000 2025,0,selalu lapar abis mandi,B,1
Sat Jan 20 11:57:10 +0000 2024,0,random banget soalnya baru kejadian terus kepikiran kan makan terus kucing rewel banget cerewet minta makan pdhl depan makanan sendiri kepikiran besok jadi ibu makan terus rewel keadaan suami kerja aaaakkkkk,None,0
Sat Jan 20 14:27:40 +0000 2024,0,hari craving gula parah,B,1
Sat Jan 20 17:03:56 +0000 2024,0,ak habis binge eating makan ppang shihlin ramune golden lamian waffle sama nasi hainan berdua sama adek tetep sedih,B,1
Sat Jan 25 03:12:25 +0000 2025,2,tw puke jorok muntah akhir² bulimia makin parah tiap abis makan malem selalu dikeluarin stress banget sumpah sebelomnya cuma tiap makan makanan jorok sekarang meski clean food tetep pengin keluarin pusing gigi tipis stop dong tolol,B,1
Sat Jan 25 14:07:59 +0000 2025,0,gasuka banget dipaksa makan kenyang sumpah lapar makan anjrit maksain makan pas perut penuh muntah trus dibilang engga jaga makan jaga kesehatan jadi kucing apa salah trus,O,1
Sat Jan 25 14:51:48 +0000 2025,0,stress languange kalau muntahin makanan gatel tdr seharian paling nyiksa gatel sih,B,1
Sat Jan 25 16:40:30 +0000 2025,0,kebiasaan banget jam segini selalu lapar,B,1
Sat Jan 25 18:00:40 +0000 2025,0,tiap tengah malem selalu lapar,B,1
Sat Jul 20 00:32:41 +0000 2024,0,blajar dr edtwt cra muntahin makanan,B,1
Sat Jun 08 08:21:08 +0000 2024,0,ternyata binge eating disorder‍↔️,B,1
Sat Jun 10 14:25:11 +0000 2023,0,otakku mulai toxic soalnya ak kepikiran muntahin makanan terus,B,1
Sat Jun 15 21:11:52 +0000 2024,0,nyesel banget tadi nongki terus makan dimsum biji memang terakhir makan jam an siang kemarin sekarang saur makan dikit mau muntah kekenyangan wkwk,B,1
Sat Jun 29 15:08:33 +0000 2024,0,pernah sangka sebelumnya problem binge eating semoga selesai kemampuan lambung menurun makan banyak asam lambung naik,B,1
Sat Mar 01 12:08:57 +0000 2025,2,capek banget punya eating disorder mau makan seenak apapun mesti muntah,B,1
Sat Mar 09 13:22:32 +0000 2024,0,cuma mau makan makanan masak cuma mau nelen makanan lu tau bagaimana rasanya mau makan tenggorokan mau buka ruanganu tau rasanya muntahin semua makanan stress depresi,B,1
Sat Mar 15 10:06:53 +0000 2025,0,dititik cape sama semuanya gabisa nelen makan mau bediri cape duduk lama cape makan dikit muntah badan lemes muntah kuning susah tidur mau jalan dikit cape jalan jenuh gapernah se trauma cara mengekspresikannya cuma nangis,B,1
Sat Mar 15 15:57:33 +0000 2025,0,sedang menerapkan mau merasa bersalah makan minum kutimbulkan merasa bersalah makan minum terjadi efek tubuhku misal jerawat yowisss wong salahku dewe,B,1
Sat Mar 15 18:03:34 +0000 2025,4,tanyakanrl dulu berat badan males banget makan terus kena maag akut dicekokin jamu kunyit campur telor ayam kampung mentah tiap hari sama mama sekarang berat badan an gampang naik suka makan mau kurus susah banget,D,1
Sat Mar 23 08:42:56 +0000 2024,0,tutor muntahin makanan selalu gmn y,B,1
Sat Mar 23 11:51:10 +0000 2024,0,muntahin makanan makan,B,1
Sat Mar 23 12:27:15 +0000 2024,33,porsi nasi rasa bersalah makan cookie kalori segede gaban [URL],B,1
Sat Mar 23 14:07:47 +0000 2024,1,seharian makan sekali makan nemu telur lalat auto muntahin semua sekarang pergi cari makanan baru,B,1
Sat Mar 30 11:54:22 +0000 2024,0,ngeliat video makan hampir muntahin makanan,B,1
Sat Mar 30 16:18:52 +0000 2024,0,biarin mah dipaksain malah jadi muntahin makanan dosa sih suka makanan tertentu,B,1
Sat Mar 30 18:08:09 +0000 2024,0,masalahnya kadang kalau dipaksa makan malah dimuntahin semua lt jadi mending pisahin awal muntahin semua makanan dimakan lt,B,1
Sat May 11 15:13:07 +0000 2024,1,cara megang garpu sama pisaunya berantakan awal ngerasa enak dilanjutin muka pucet muntahin makanan tetep dilanjutin konten kan nanya pelayannya kalau misal rasanya aneh,None,0
Sat May 18 11:50:05 +0000 2024,0,merasa bersalah makan mie micin kmrn,B,1
Sat May 25 12:19:41 +0000 2024,0,stop muntahin makanan lu blom makan apapun kemaren siang may,B,1
Sat May 25 20:04:53 +0000 2024,0,lu prnh g sih habis makan pgn muntahin makanan lu,B,1
Sat Nov 02 13:53:23 +0000 2019,0,w tuh sering banget feel guilty abis makan diatas jam wkwkwk endingnya perut enak kepikiran terus berakibatkan kalau w muntah besoknya perut maagh jelas aneh banget memang,B,1
Sat Nov 09 09:51:06 +0000 2024,0,pengen ngemil terus,B,1
Sat Nov 09 10:45:12 +0000 2024,0,baru tau ternyata kebiasaan muntahin makanan termasuk eating disorders mental illness,B,1
Sat Nov 16 15:31:17 +0000 2024,0,ngerasa bersalah makan mie,B,1
Sat Nov 16 16:30:37 +0000 2024,0,apa stop muntahin makanan,B,1
Sat Nov 23 11:28:29 +0000 2024,0,hafizhaanisa berarti gapapa makan ikan goreng abisnya suka ngerasa bersalah makan kembung goreng,B,1
Sat Nov 24 07:05:58 +0000 2018,0,rasa bersalah makan keping biskut marie hmm hi diet perjuangan selesai kan,B,1
Sat Nov 30 13:11:06 +0000 2024,0,kalian kalau stress jadi makan apa jadi bingeeating,B,1
Sat Oct 05 16:43:10 +0000 2024,6,deh binge eating enak banget perut,B,1
Sat Oct 12 12:15:01 +0000 2024,0,hari binge eating anjir anjir anjir im going to kms,B,1
Sat Oct 14 12:33:52 +0000 2023,0,mekidi boikot lah baru pulang mekdi anjritttt apa muntahin makanan makan,B,1
Sat Oct 16 12:10:54 +0000 2021,0,kalau ditanya kok semua luar kendali tiap habis makan mau banyak mau sedikit mau cukup rasanya mual sakit kepala baru perasaan ngerasa enakan dimuntahin jadi tiap kemanapun dicari selalu toilet capek,B,1
Sat Oct 19 15:18:29 +0000 2024,0,punya eating disorder tega buang makanan beneran rakus terlalu cepet habis makan terus nyesel terus diulang dulu makanan apapun makan,B,1
Sat Oct 28 06:38:45 +0000 2023,0,p ingfo makanan penghilang overthinking,B,1
Sat Oct 28 14:45:31 +0000 2023,0,merasa bersalah makan beberapa potong terangbulan,B,1
Sat Sep 07 16:11:11 +0000 2024,0,berhenti makan coklat aaaaa bungkus silverqueen,B,1
Sat Sep 28 15:04:26 +0000 2024,0,hari hari nahan nangis kalau mau makan berakhir binge eating,B,1
Sat Sep 30 04:22:08 +0000 2023,0,bener bener berhenti makan sama minum manis plss,B,1
Sun Apr 09 19:07:32 +0000 2023,3,cara buat ngilangin trauma gmn y kalau ketrigger feeling lonely sll bsa tdr jadi muntahin semua makanan,B,1
Sun Apr 14 16:16:02 +0000 2024,1,harini makan pergi muntahkan balik sbb kenyang sangat nak jalan larat rasa nak meletup perut orang kat toilet tadi mesti ingat bulimia sbb tengok je time cuci tangan,B,1
Sun Apr 16 05:23:12 +0000 2023,6,auraf renhyucknikah tangkira bukan editan dituduh muntahin makanan nya sama bantah dulu video rekaman asli nya selalu delete sekarang pernah delete kasih bukti kalau pernah muntahin makanan cmiiw,None,0
Sun Aug 01 10:11:00 +0000 2021,0,gula craving parah beneran ngemut gula,B,1
Sun Aug 06 15:40:40 +0000 2023,0,terpantau kebiasaan muntahin makanan mulai,B,1
Sun Aug 18 20:29:10 +0000 2024,5,binge eating is a serious disorder wese ye ese har waqt gaye ki trah jugali achi baat nih,B,1
Sun Aug 27 20:23:00 +0000 2023,0,terbiasa lapar order makanan jam segini capek overthinking,B,1
